order_id,customer_id,order_date,status,payment_method,region
132,7104,2024-01-16,Completed,PayPal,Levant
133,676,2023-12-03,Completed,Cash,Gulf
134,638,2023-04-14,Cancelled,Credit Card,North Africa
135,6355,2024-06-07,Completed,Cash,North Africa
136,1997,2024-02-26,Completed,Cash,Levant
137,7265,2023-10-15,Completed,Bank Transfer,Levant
138,1845,2023-02-24,Completed,Unknown,Gulf
139,6483,2023-11-14,Completed,Bank Transfer,Levant
140,47,2023-10-15,Cancelled,PayPal,North Africa
141,820,2024-02-10,Completed,Bank Transfer,Levant
142,3808,2023-11-08,Completed,Credit Card,Levant
143,3023,2023-04-22,Completed,Cash,Levant
144,1081,2024-03-29,Completed,PayPal,Levant
145,3147,2023-07-03,Completed,Cash,Gulf
146,1278,2024-01-29,Completed,Credit Card,Gulf
147,3735,2024-05-11,Completed,Bank Transfer,Gulf
148,7739,2023-06-18,Completed,Cash,North Africa
149,6981,2024-05-16,Completed,PayPal,North Africa
150,7096,2023-02-10,Completed,Credit Card,Levant
151,6742,2024-05-15,Completed,PayPal,North Africa
152,2218,2024-09-20,Completed,Cash,Levant
153,5266,2024-05-15,Completed,Credit Card,Levant
154,2887,2023-01-07,Completed,Bank Transfer,Levant
155,5153,2024-02-09,Completed,Credit Card,North Africa
156,5635,2024-09-28,Cancelled,Credit Card,North Africa
157,796,2024-01-08,Completed,Credit Card,Levant
158,3329,2023-05-13,Completed,Credit Card,Gulf
159,7294,2023-03-04,Completed,Bank Transfer,Gulf
160,3007,2024-07-13,Completed,Bank Transfer,Levant
161,3185,2023-08-29,Completed,PayPal,Levant
162,6959,2024-07-29,Cancelled,Credit Card,Gulf
163,7973,2024-05-16,Cancelled,Bank Transfer,Gulf
164,2390,2024-08-17,Completed,Bank Transfer,North Africa
165,4144,2024-07-13,Completed,Unknown,Gulf
166,6508,2023-07-16,Completed,PayPal,Levant
167,3859,2024-07-27,Completed,Cash,Gulf
168,5518,2023-08-10,Completed,Credit Card,Gulf
169,1219,2023-08-23,Returned,Credit Card,North Africa
170,1761,2024-09-15,Completed,Credit Card,North Africa
171,725,2023-04-19,Completed,Bank Transfer,Gulf
172,1345,2023-04-08,Completed,Cash,North Africa
173,5914,2023-03-16,Completed,Bank Transfer,Gulf
174,138,2024-03-18,Completed,Unknown,North Africa
175,4451,2024-06-21,Completed,PayPal,Levant
176,5965,2024-01-12,Completed,PayPal,Levant
177,5190,2023-11-21,Completed,Cash,Levant
178,4907,2024-09-01,Completed,PayPal,Gulf
179,5702,2024-02-29,Cancelled,Credit Card,Levant
180,3555,2024-01-17,Completed,Unknown,North Africa
181,5840,2024-08-24,Completed,Bank Transfer,Gulf
182,2760,2024-02-19,Completed,PayPal,Gulf
183,59,2024-09-26,Cancelled,Cash,Levant
184,771,2023-05-10,Completed,Credit Card,North Africa
185,389,2023-08-27,Completed,Cash,Levant
186,3925,2024-02-22,Completed,Bank Transfer,Gulf
187,3423,2024-04-10,Completed,Cash,Gulf
188,6990,2023-12-28,Completed,Cash,Gulf
189,7013,2024-01-18,Returned,Credit Card,Levant
190,4435,2023-07-19,Completed,Credit Card,Levant
191,7845,2024-08-24,Completed,Bank Transfer,Gulf
192,4853,2023-06-13,Completed,Cash,North Africa
193,596,2023-04-14,Completed,PayPal,Levant
194,436,2023-02-10,Returned,Bank Transfer,North Africa
195,1474,2023-08-08,Completed,Cash,North Africa
196,4473,2023-12-26,Completed,Bank Transfer,Levant
197,1983,2023-07-11,Completed,Credit Card,North Africa
198,2439,2023-03-25,Completed,PayPal,Gulf
199,6625,2023-09-18,Completed,PayPal,North Africa
200,2869,2024-09-03,Completed,Credit Card,Levant
201,4210,2023-03-06,Completed,Bank Transfer,North Africa
202,3818,2024-04-02,Completed,Unknown,Gulf
203,774,2024-11-15,Cancelled,Credit Card,North Africa
204,1927,2024-09-19,Completed,Unknown,Levant
205,2220,2023-11-06,Cancelled,Bank Transfer,North Africa
206,18,2023-04-25,Completed,Bank Transfer,North Africa
207,4331,2023-10-13,Completed,Cash,Gulf
208,5430,2024-11-15,Completed,Bank Transfer,Gulf
209,3967,2024-01-28,Completed,Cash,Gulf
210,1693,2024-06-17,Completed,Cash,Levant
211,2771,2024-10-01,Cancelled,Credit Card,Gulf
212,4377,2024-01-26,Completed,Unknown,Gulf
213,4927,2023-06-19,Completed,PayPal,Levant
214,3268,2023-02-27,Completed,Credit Card,Gulf
215,1139,2024-07-20,Completed,Cash,Levant
216,7565,2024-11-29,Completed,PayPal,Gulf
217,1696,2024-07-17,Completed,Cash,North Africa
218,5787,2023-03-12,Completed,Credit Card,Levant
219,1587,2023-05-10,Completed,Unknown,Gulf
220,4514,2023-10-21,Cancelled,Bank Transfer,Gulf
221,2332,2023-05-16,Completed,PayPal,Gulf
222,4681,2024-11-14,Completed,Cash,Levant
223,5448,2024-07-26,Completed,Cash,North Africa
224,5461,2023-11-28,Completed,Cash,Gulf
225,2670,2023-07-30,Completed,Credit Card,Gulf
226,7966,2024-10-02,Completed,Bank Transfer,Gulf
227,2269,2023-12-10,Completed,Bank Transfer,Levant
228,2057,2024-03-19,Cancelled,Credit Card,Gulf
229,6029,2023-01-11,Completed,Cash,North Africa
230,7250,2024-09-27,Completed,Cash,Levant
231,4928,2023-10-20,Cancelled,Bank Transfer,Gulf
232,7462,2023-09-24,Returned,PayPal,North Africa
233,2423,2023-03-01,Completed,PayPal,North Africa
234,4630,2024-04-01,Completed,PayPal,North Africa
235,3487,2024-04-16,Completed,PayPal,Gulf
236,5219,2023-01-12,Completed,Cash,Gulf
237,5802,2024-07-11,Completed,Credit Card,Gulf
238,2750,2024-03-21,Returned,PayPal,North Africa
239,7786,2024-01-25,Completed,Credit Card,North Africa
240,6976,2023-11-28,Completed,Credit Card,North Africa
241,4042,2023-02-21,Completed,Credit Card,Levant
242,2825,2023-05-26,Completed,Bank Transfer,North Africa
243,1406,2023-11-12,Completed,PayPal,Gulf
244,1887,2024-10-15,Returned,PayPal,Levant
245,2988,2024-08-13,Completed,PayPal,Levant
246,3576,2024-09-05,Cancelled,Bank Transfer,North Africa
247,4543,2024-03-11,Completed,Bank Transfer,Levant
248,2728,2023-12-02,Completed,Bank Transfer,North Africa
249,6488,2023-06-29,Cancelled,PayPal,North Africa
250,6569,2024-03-08,Completed,Cash,Gulf
251,4721,2024-04-04,Completed,Bank Transfer,North Africa
252,1864,2024-05-14,Completed,Unknown,North Africa
253,2354,2024-07-31,Completed,Credit Card,North Africa
254,6292,2023-02-12,Completed,Cash,Gulf
255,2897,2024-05-16,Completed,PayPal,Gulf
256,4828,2024-10-01,Cancelled,PayPal,Gulf
257,2502,2023-06-06,Completed,Bank Transfer,Levant
258,938,2023-08-16,Completed,PayPal,North Africa
259,2081,2024-11-05,Completed,Credit Card,North Africa
260,1756,2023-04-06,Completed,PayPal,Gulf
261,5621,2024-03-08,Completed,Bank Transfer,Levant
262,3391,2023-04-15,Completed,Credit Card,Gulf
263,5817,2024-01-12,Completed,Bank Transfer,North Africa
264,1217,2023-06-05,Completed,PayPal,North Africa
265,1204,2024-08-12,Completed,PayPal,Gulf
266,1891,2023-05-28,Completed,Credit Card,North Africa
267,3032,2024-09-16,Completed,PayPal,Levant
268,5638,2023-10-25,Completed,PayPal,North Africa
269,391,2023-09-07,Completed,Cash,North Africa
270,7689,2024-03-16,Completed,Cash,Levant
271,6501,2024-08-04,Cancelled,Bank Transfer,Gulf
272,6717,2024-02-23,Returned,Bank Transfer,Gulf
273,2512,2023-09-14,Completed,PayPal,North Africa
274,2978,2023-10-27,Completed,Credit Card,Gulf
275,3747,2023-02-19,Completed,Bank Transfer,Levant
276,99,2024-01-22,Completed,Credit Card,Gulf
277,2196,2024-11-24,Completed,Cash,North Africa
278,4666,2023-06-23,Completed,Cash,Gulf
279,4823,2023-03-17,Completed,Bank Transfer,Levant
280,7484,2024-03-06,Completed,Cash,Levant
281,1002,2023-01-15,Completed,Bank Transfer,North Africa
282,7350,2024-04-09,Completed,Credit Card,Levant
283,1571,2023-05-17,Completed,Unknown,North Africa
284,4399,2024-09-08,Completed,Credit Card,Gulf
285,3630,2024-10-05,Completed,PayPal,Gulf
286,7767,2023-06-02,Completed,Bank Transfer,Levant
287,6148,2024-10-14,Completed,PayPal,Levant
288,6922,2024-11-06,Completed,PayPal,Gulf
289,6251,2024-07-09,Completed,Cash,Gulf
290,6219,2024-06-09,Completed,Cash,Gulf
291,1064,2023-02-19,Returned,Cash,Levant
292,639,2024-05-04,Cancelled,Bank Transfer,North Africa
293,2743,2024-08-13,Completed,Bank Transfer,Levant
294,1143,2023-11-10,Completed,Cash,Gulf
295,2121,2024-05-28,Completed,Bank Transfer,Gulf
296,552,2023-06-28,Cancelled,Cash,Gulf
297,3276,2024-05-27,Cancelled,Bank Transfer,Gulf
298,977,2024-03-14,Completed,Bank Transfer,Gulf
299,4192,2024-09-19,Completed,Credit Card,North Africa
300,3351,2023-01-19,Completed,PayPal,North Africa
301,3215,2023-09-15,Completed,Bank Transfer,Levant
302,7283,2023-07-21,Completed,Cash,North Africa
303,3548,2024-05-07,Completed,PayPal,Gulf
304,2932,2024-07-27,Completed,PayPal,Gulf
305,4070,2023-12-17,Completed,Cash,North Africa
306,7301,2024-01-15,Completed,Bank Transfer,Levant
307,5288,2024-08-04,Cancelled,Credit Card,North Africa
308,3986,2024-09-27,Completed,Credit Card,Gulf
309,7413,2024-02-15,Completed,Bank Transfer,North Africa
310,6421,2023-10-14,Completed,Credit Card,North Africa
311,6403,2023-10-09,Returned,Credit Card,Gulf
312,4142,2024-02-13,Completed,Bank Transfer,North Africa
313,346,2024-07-15,Completed,Bank Transfer,Levant
314,4943,2024-04-07,Completed,Bank Transfer,North Africa
315,2943,2024-01-18,Cancelled,Bank Transfer,Levant
316,7405,2024-05-31,Completed,PayPal,Gulf
317,1077,2023-04-21,Completed,Credit Card,North Africa
318,1172,2023-04-15,Completed,Credit Card,North Africa
319,3771,2023-05-05,Completed,Cash,North Africa
320,5653,2024-09-29,Completed,Credit Card,Levant
321,3162,2023-07-25,Completed,PayPal,Levant
322,233,2023-01-16,Completed,Bank Transfer,North Africa
323,3799,2024-01-30,Completed,Bank Transfer,Gulf
324,4147,2024-03-24,Completed,Bank Transfer,Gulf
325,4761,2023-11-18,Cancelled,Cash,North Africa
326,3908,2024-07-24,Completed,Unknown,North Africa
327,3700,2023-06-16,Completed,Bank Transfer,Levant
328,7562,2023-10-04,Cancelled,PayPal,North Africa
329,7382,2023-06-14,Completed,Cash,Gulf
330,451,2024-05-11,Completed,Bank Transfer,Levant
331,1363,2024-02-25,Completed,Credit Card,Levant
332,351,2024-10-25,Completed,PayPal,North Africa
333,2697,2023-02-13,Completed,Bank Transfer,Levant
334,1309,2024-09-08,Completed,PayPal,North Africa
335,4005,2023-08-22,Completed,Credit Card,North Africa
336,2926,2023-12-02,Completed,Cash,Gulf
337,4679,2023-09-30,Completed,Bank Transfer,Levant
338,245,2023-01-19,Completed,Credit Card,Levant
339,4646,2023-01-26,Completed,Bank Transfer,Levant
340,4824,2023-11-17,Completed,PayPal,Levant
341,4735,2024-08-05,Completed,Bank Transfer,Gulf
342,4680,2024-07-23,Returned,Credit Card,Gulf
343,2274,2024-05-06,Completed,Cash,Levant
344,6971,2024-08-17,Completed,Bank Transfer,Levant
345,441,2024-06-08,Completed,Credit Card,Gulf
346,3546,2024-07-01,Completed,Cash,Levant
347,1468,2024-03-30,Completed,Cash,Levant
348,5916,2024-01-02,Returned,Cash,Levant
349,412,2024-02-21,Completed,PayPal,Levant
350,814,2024-10-16,Completed,Bank Transfer,North Africa
351,4342,2023-11-27,Completed,Cash,Gulf
352,4679,2023-10-29,Completed,Credit Card,Gulf
353,1731,2024-09-29,Completed,Unknown,Gulf
354,6644,2024-09-17,Completed,Bank Transfer,North Africa
355,5078,2024-01-09,Completed,Credit Card,North Africa
356,1975,2023-08-29,Completed,PayPal,North Africa
357,550,2023-07-21,Completed,Cash,Gulf
358,6261,2023-12-22,Completed,Credit Card,Levant
359,7918,2024-11-05,Completed,Unknown,Levant
360,5484,2023-04-23,Completed,Bank Transfer,North Africa
361,1938,2023-09-15,Completed,Unknown,Gulf
362,204,2024-09-06,Completed,PayPal,Gulf
363,4447,2024-07-12,Completed,Credit Card,Gulf
364,4415,2023-06-19,Returned,Credit Card,North Africa
365,7527,2024-09-11,Completed,PayPal,North Africa
366,3589,2024-05-21,Completed,PayPal,Levant
367,7084,2024-02-02,Completed,PayPal,North Africa
368,2537,2024-05-19,Completed,PayPal,Gulf
369,5789,2023-09-12,Completed,PayPal,Gulf
370,107,2024-08-30,Cancelled,Credit Card,North Africa
371,3812,2023-11-23,Completed,Cash,North Africa
372,2702,2023-02-16,Completed,Bank Transfer,Levant
373,3898,2023-03-30,Completed,Credit Card,North Africa
374,2220,2023-07-11,Completed,PayPal,Gulf
375,7826,2024-09-15,Completed,Cash,Levant
376,6663,2024-08-18,Completed,PayPal,Levant
377,5975,2023-06-27,Returned,Bank Transfer,Gulf
378,3937,2024-07-29,Returned,Credit Card,Gulf
379,4091,2023-11-11,Completed,Credit Card,Gulf
380,958,2023-08-17,Completed,PayPal,Levant
381,6957,2024-10-01,Completed,PayPal,North Africa
382,2576,2023-09-19,Completed,Credit Card,Levant
383,2368,2024-09-10,Completed,Bank Transfer,Levant
384,1061,2023-08-21,Completed,Bank Transfer,Levant
385,2547,2024-07-30,Completed,Unknown,North Africa
386,3737,2023-02-14,Completed,Credit Card,Levant
387,6409,2024-10-28,Cancelled,Cash,North Africa
388,3767,2023-01-27,Completed,Cash,North Africa
389,5788,2024-05-03,Completed,Credit Card,North Africa
390,1673,2024-11-06,Completed,PayPal,Gulf
391,7052,2024-03-23,Completed,Bank Transfer,Gulf
392,402,2024-07-26,Completed,Credit Card,Gulf
393,7131,2024-11-07,Cancelled,Bank Transfer,Levant
394,602,2023-10-09,Completed,Bank Transfer,Levant
395,3000,2023-05-19,Completed,Bank Transfer,Gulf
396,4314,2024-05-26,Completed,Credit Card,Levant
397,6474,2024-11-19,Completed,Bank Transfer,North Africa
398,4282,2023-11-20,Completed,Unknown,Levant
399,3453,2023-04-07,Completed,Cash,Levant
400,6353,2023-06-27,Completed,Unknown,Gulf
401,3635,2023-12-18,Completed,Cash,Levant
402,288,2024-06-15,Returned,Credit Card,Levant
403,88,2023-10-03,Completed,PayPal,North Africa
404,7147,2023-10-22,Completed,Credit Card,Levant
405,6280,2023-12-18,Completed,Bank Transfer,Levant
406,2206,2024-11-22,Completed,Credit Card,Levant
407,6938,2024-03-21,Completed,PayPal,North Africa
408,2968,2023-02-14,Completed,Credit Card,Levant
409,4251,2024-07-14,Completed,Unknown,Gulf
410,3535,2023-06-05,Returned,Cash,Levant
411,220,2024-09-22,Completed,PayPal,North Africa
412,1483,2023-05-30,Completed,Cash,Gulf
413,3239,2023-07-31,Completed,Credit Card,North Africa
414,322,2024-04-25,Completed,Bank Transfer,North Africa
415,2739,2023-09-04,Completed,Credit Card,Gulf
416,4937,2024-07-15,Completed,Bank Transfer,North Africa
417,5682,2024-11-16,Cancelled,Bank Transfer,Gulf
418,1837,2023-01-06,Cancelled,Bank Transfer,North Africa
419,2560,2024-05-15,Completed,Bank Transfer,Gulf
420,6231,2024-01-09,Cancelled,Cash,Gulf
421,1569,2024-08-16,Completed,Credit Card,North Africa
422,2323,2024-09-05,Completed,Credit Card,Levant
423,6285,2023-10-31,Completed,PayPal,Gulf
424,7886,2023-08-31,Completed,Bank Transfer,Levant
425,5856,2023-10-02,Completed,PayPal,Gulf
426,4721,2024-03-11,Completed,Bank Transfer,Gulf
427,7958,2023-09-13,Completed,Unknown,North Africa
428,2964,2024-09-18,Returned,PayPal,Gulf
429,353,2024-09-05,Completed,Credit Card,North Africa
430,1029,2023-11-22,Completed,PayPal,Levant
431,6526,2023-06-16,Returned,PayPal,Gulf
432,7892,2023-08-09,Completed,Bank Transfer,Levant
433,7936,2023-02-02,Completed,Bank Transfer,Gulf
434,5454,2024-01-23,Completed,Bank Transfer,Levant
435,4571,2023-01-06,Completed,Credit Card,Levant
436,2010,2024-10-05,Completed,Credit Card,North Africa
437,928,2024-09-03,Completed,Credit Card,North Africa
438,30,2023-01-27,Cancelled,PayPal,North Africa
439,7515,2023-06-05,Completed,Bank Transfer,North Africa
440,7066,2023-08-22,Completed,PayPal,Gulf
441,6738,2023-06-04,Completed,Bank Transfer,North Africa
442,2541,2024-11-05,Completed,Credit Card,North Africa
443,3820,2024-02-01,Returned,Bank Transfer,Gulf
444,495,2023-02-03,Completed,Bank Transfer,Levant
445,4484,2023-03-27,Completed,Bank Transfer,Gulf
446,873,2024-08-16,Completed,Credit Card,Levant
447,835,2024-04-07,Completed,PayPal,North Africa
448,3325,2023-10-30,Completed,Bank Transfer,Gulf
449,630,2023-07-07,Completed,PayPal,North Africa
450,2987,2024-04-06,Completed,Bank Transfer,Gulf
451,30,2023-03-07,Completed,Credit Card,Levant
452,6767,2024-04-25,Completed,Credit Card,Gulf
453,7934,2023-08-01,Returned,Credit Card,North Africa
454,3783,2023-06-09,Returned,Cash,Levant
455,807,2023-01-23,Completed,Bank Transfer,Levant
456,6486,2024-06-14,Completed,Cash,Gulf
457,5929,2024-02-08,Completed,Credit Card,North Africa
458,5407,2024-09-22,Completed,Cash,North Africa
459,1969,2024-09-19,Returned,Credit Card,North Africa
460,3469,2024-06-04,Completed,Credit Card,Levant
461,7145,2024-08-06,Completed,Bank Transfer,Levant
462,3581,2024-05-05,Completed,Cash,Levant
463,1961,2024-09-15,Completed,Credit Card,Levant
464,4340,2023-12-14,Completed,Cash,North Africa
465,221,2023-10-08,Cancelled,Cash,Levant
466,5276,2023-07-20,Completed,PayPal,Gulf
467,5503,2023-09-06,Cancelled,Cash,Gulf
468,5868,2023-10-01,Returned,Bank Transfer,North Africa
469,1344,2023-05-23,Completed,Credit Card,North Africa
470,6517,2024-03-25,Completed,Credit Card,Levant
471,4627,2023-05-01,Completed,Credit Card,Levant
472,2263,2024-11-02,Cancelled,Bank Transfer,Gulf
473,2415,2024-02-04,Completed,Cash,Levant
474,2162,2023-05-19,Completed,Credit Card,Gulf
475,7368,2023-06-05,Completed,Bank Transfer,Levant
476,4121,2023-09-27,Completed,Bank Transfer,Gulf
477,2982,2024-11-09,Completed,PayPal,Gulf
478,5241,2023-08-30,Completed,PayPal,North Africa
479,5862,2023-07-04,Completed,Credit Card,Gulf
480,6755,2024-01-31,Completed,Credit Card,North Africa
481,858,2023-09-27,Completed,Cash,Gulf
482,5123,2023-10-19,Cancelled,Cash,North Africa
483,4994,2023-12-06,Completed,Bank Transfer,North Africa
484,773,2023-02-13,Completed,Cash,Levant
485,2493,2024-04-12,Cancelled,PayPal,North Africa
486,7422,2023-06-11,Cancelled,Cash,North Africa
487,20,2023-02-26,Completed,Bank Transfer,Gulf
488,5324,2023-02-23,Completed,Cash,Levant
489,806,2023-08-25,Completed,Cash,North Africa
490,1381,2023-02-25,Cancelled,Bank Transfer,North Africa
491,2176,2023-03-15,Completed,PayPal,Levant
492,2406,2024-06-07,Completed,Credit Card,Gulf
493,3364,2023-01-01,Returned,PayPal,Levant
494,7342,2024-08-05,Completed,Credit Card,North Africa
495,7901,2024-05-14,Completed,Bank Transfer,North Africa
496,3427,2023-09-13,Cancelled,PayPal,Levant
497,881,2024-09-27,Completed,Credit Card,Gulf
498,3109,2023-06-22,Completed,Credit Card,Gulf
499,1334,2023-10-03,Cancelled,PayPal,North Africa
500,1685,2024-10-18,Completed,PayPal,Levant
501,2965,2024-02-09,Completed,Cash,Gulf
502,7772,2023-09-10,Completed,Credit Card,Gulf
503,1606,2024-10-11,Completed,Credit Card,North Africa
504,5204,2023-01-06,Completed,Credit Card,North Africa
505,2558,2023-05-31,Completed,Bank Transfer,Gulf
506,444,2024-08-11,Completed,PayPal,Gulf
507,7588,2024-05-19,Completed,Credit Card,North Africa
508,2043,2023-08-17,Completed,Cash,North Africa
509,5325,2024-06-06,Completed,Credit Card,North Africa
510,5608,2023-07-28,Completed,Credit Card,Levant
511,779,2024-08-18,Completed,Credit Card,Gulf
512,3160,2023-08-24,Cancelled,Credit Card,Levant
513,6396,2023-08-21,Completed,Bank Transfer,Levant
514,1747,2023-10-18,Completed,Credit Card,Gulf
515,5975,2023-07-26,Completed,Bank Transfer,Levant
516,5151,2024-06-08,Completed,Cash,North Africa
517,3941,2024-02-07,Completed,Bank Transfer,North Africa
518,421,2023-02-10,Completed,Bank Transfer,Levant
519,1852,2024-02-16,Completed,Credit Card,Levant
520,2109,2023-11-09,Completed,Cash,North Africa
521,4675,2024-08-31,Cancelled,Bank Transfer,Levant
522,5346,2024-08-01,Completed,PayPal,Levant
523,3997,2023-04-05,Completed,PayPal,North Africa
524,6083,2023-08-01,Completed,PayPal,Levant
525,1359,2023-08-02,Completed,Cash,North Africa
